created_at,text,quote_count,reply_count,retweet_count,favorite_count,positive_sentiment
2020-06-21,"@aikatchu @Tesla Cool, lmk what we can do to improve the product, especially vehicle software/firmware, app &amp; overa… https://t.co/WH6PEYqhaO",101,863,515,27468,0.20959258079528809
2020-06-21,RT @Tesla: https://t.co/26o1bAP14v,0,0,0,0,0.0029115895740687847
2020-06-20,@PPathole @Tesla Pulling up to The Petersen,24,366,241,14141,0.00507995393127203
2020-06-19,Juneteenth is henceforth considered a US holiday at Tesla &amp; SpaceX,2588,6353,33713,421136,0.060815200209617615
2020-06-19,@EvaFoxU @Tesla Moving fast,10,117,71,1985,0.03106001578271389
2020-06-19,@KatriniaDivina @TeslaPhx @Tesla Opening in about two weeks,11,50,31,923,0.0014729626709595323
2020-06-18,@TeslaPhx @Tesla 🤣🤣,9,115,153,12969,0.006834253668785095
2020-06-18,"@Teslarati Tesla has an option to purchase this land, but has not exercised it",103,780,557,17970,0.007077026180922985
2020-06-16,"@tesla_peter @t0mmyr Actually, we’ve made slight changes, but the range improvement is &gt;90% efficiency",6,58,40,1203,0.31304043531417847
2020-06-15,Tesla Model S now first ever electric vehicle to receive EPA range rating above 400 miles! https://t.co/EOTwVfvHS5,702,2254,7456,90324,0.09134260565042496
2020-06-10,Tesla factory workplace safety is 5% better than industry average for manufacturers &amp; improving fast https://t.co/axmInA9fZb,36,356,582,10791,0.5043002367019653
2020-06-10,Tesla batteries are lasting much longer than 200k miles / 320k km https://t.co/z882nf6yv9,56,210,674,7845,0.1784927248954773
2020-06-10,"Moreover, energy produced by Tesla solar deployments far exceeds energy used in our factories https://t.co/IDqf5gWeFt",22,113,380,4335,0.02732759341597557
2020-06-10,"Posting Tesla Impact Report, this time with summary points &amp; charts in my reply tweets https://t.co/4lyaV7kIS4",198,796,2075,23923,0.01134358998388052
2020-06-10,"Wort reading the whole thing
https://t.co/4lyaV7kIS4",390,2192,3082,39269,0.1209895983338356
2020-06-10,@jgrano305 @ICannot_Enough @GerberKawasaki @Tesla @joerogan We shall see …,11,127,44,1646,0.004520815331488848
2020-06-10,@flcnhvy @GerberKawasaki @Tesla @joerogan Maybe I should retweet the top four or five point. What caught your eye the most?,5,101,51,1562,0.16343356668949127
2020-06-10,@flcnhvy @GerberKawasaki @Tesla @joerogan Good point!,2,44,32,1117,0.8477756977081299
2020-06-10,@ICannot_Enough @GerberKawasaki @Tesla @joerogan Yes,46,81,106,1668,0.011442631483078003
2020-06-10,@GerberKawasaki @Tesla (Formerly) mainstream media has systemic negative &amp; political bias about almost everything.… https://t.co/L6zNZN8j9A,146,295,2044,14467,0.0010945753892883658
2020-06-08,@PPathole @Tesla Autopilot prime directive is: don’t crash. What seems fast to humans is slow to a computer. 360 de… https://t.co/spHZHf7C5w,168,674,3236,49257,0.010872510261833668
2020-06-08,@emmerichvideo @Tesla Good point,3,50,35,1235,0.9122706651687622
2020-06-06,Order a Tesla online in 2 mins at https://t.co/46TXqRrsdr,1012,5031,3453,51933,0.021528244018554688
2020-06-06,Tesla Model Y review by Dan Neil https://t.co/3oS85UFaaR,164,1025,1891,26239,0.0017867524875327945
2020-05-29,"@cleantechnica Worth noting that, as of Jan 1, Tesla buyers no longer received any federal tax credit. Model 3 led… https://t.co/vqSQaqJIpW",45,369,465,11230,0.005912153050303459
2020-05-18,Tesla Full Self-Driving option cost rises by ~$1000 worldwide on July 1st. Order a Tesla online in less than 2 minu… https://t.co/ShDPEhKHqM,458,2704,2512,30359,0.04439258202910423
2020-05-15,@flcnhvy Tesla makes the safest cars in the world &amp; our factory injury rate is better than industry avg &amp; tracking… https://t.co/UMfhMOOWJJ,62,172,265,2941,0.594733476638794
2020-05-15,@flcnhvy Absolutely. Tesla already went through this in China with 7000 employees. Zero fatalities or serious illnesses.,26,164,606,9581,0.04493241384625435
2020-05-14,Tesla Supercharger usage by region https://t.co/1y2zL2Jizt,464,1647,3124,46725,0.005363426171243191
2020-05-14,RT @JimBridenstine: Here’s some @Tesla news that everyone should love. Check out the Model X that will carry @AstroBehnken and @Astro_Doug…,0,0,0,0,0.6237608790397644
2020-05-13,RT @cleantechnica: Elon Musk’s Email To Tesla Employees Returning To Work https://t.co/MYCLC79XJw,0,0,0,0,0.008363254368305206
